system,ticker,scheduled_date,estimated_price,score,signal,shares
breakout,AMD,2026-03-31,196.0399932861328,7,Strong Breakout Candidate,5
breakout,AMD,2026-03-31,196.0399932861328,7,Strong Breakout Candidate,5
breakout,AMD,2026-03-31,196.0399932861328,7,Strong Breakout Candidate,5
breakout,AMD,2026-03-31,196.0399932861328,7,Strong Breakout Candidate,5
breakout,AMD,2026-03-31,196.0399932861328,7,Strong Breakout Candidate,5
breakout,AMD,2026-03-31,196.0399932861328,7,Strong Breakout Candidate,5
breakout,AMD,2026-03-31,196.0399932861328,7,Strong Breakout Candidate,5
breakout,AMD,2026-03-31,196.0399932861328,7,Strong Breakout Candidate,5
breakout,AMD,2026-03-31,196.0399932861328,7,Strong Breakout Candidate,5
breakout,AMD,2026-03-31,196.0399932861328,7,Strong Breakout Candidate,5
breakout,AMD,2026-03-31,196.0399932861328,7,Strong Breakout Candidate,5
breakout,AMD,2026-03-31,196.0399932861328,7,Strong Breakout Candidate,5
breakout,AMD,2026-03-31,196.0399932861328,7,Strong Breakout Candidate,5
breakout,AMD,2026-03-31,196.0399932861328,7,Strong Breakout Candidate,5
trend,HUT,2026-04-21,78.98999786376953,7,Strong Bullish,3
trend,PLUG,2026-04-24,3.180000066757202,7,Strong Bullish,79
