date,ticker,open,high,low,close,ret_21,ret_63,ret_126,spy_ret_63,rs_63,ma_20,ma_50,ma_100,avg_vol_5,avg_vol_20,avg_vol_50,vol_ratio_20_50,vol_acceleration,atr_pct,extension_pct,compression_ratio,proximity_20,proximity_50,rs_acceleration,extension_50ma,extension_20ma,structure_condition,relative_strength_score,trend_score,structure_score,volume_score,volatility_score,extension_score,total_score,signal,breakout_compression_score,breakout_volume_score,breakout_proximity_score,breakout_rs_acceleration_score,breakout_extension_score,breakout_structure_score,breakout_total_score,breakout_signal,tag
2026-05-08,AXSM,220.55999755859375,223.42999267578125,216.77000427246094,217.3800048828125,0.2150922990449824,0.19079704874712844,0.6020340553585124,0.06805479182806584,0.1227422569190626,196.2125,176.73020050048828,175.07070083618163,1115960.0,912555.0,711360.0,1.2828314777327936,1.2228961542044041,0.049391777337324416,0.10788051160253548,1.5538217890057204,-0.0721754615557505,-0.0721754615557505,0.024295250297853954,0.23001051471229395,0.10788051160253548,1,2,2,1,1,1,1,8,Strong Bullish,0,1,0,1,0,1,3,No Setup,early_breakout
2026-05-08,ABNB,138.125,146.97000122070312,137.25,141.49000549316406,0.09546300310822797,0.15804554869664922,0.1550204530054209,0.06805479182806584,0.08999075686858338,139.94850006103516,133.97439971923828,132.4669497680664,5122340.0,3684905.0,3723442.0,0.9896501677748707,1.3900873970970757,0.030663959197041672,0.011014804956513361,0.963359791165268,-0.03911711040296051,-0.03911711040296051,-0.06258254558842125,0.05609732747208248,0.011014804956513361,1,2,2,1,0,1,1,7,Strong Bullish,0,1,0,0,2,1,4,Breakout Watch,early_breakout
2026-05-08,AMD,418.5899963378906,456.2900085449219,418.2900085449219,455.19000244140625,0.9235547820125545,1.183793883658982,0.7757969269548461,0.06805479182806584,1.1157390918309162,326.2265007019043,254.51100006103516,236.6640998840332,59318400.0,46746750.0,39055228.0,1.1969396261110037,1.2689309952028751,0.059056976929970334,0.39531890101517175,1.8431869578488347,-0.002410760882149199,-0.002410760882149199,-0.2602391016464276,0.7884885224302508,0.39531890101517175,1,2,2,1,1,1,0,7,Strong Bullish,0,1,2,0,0,1,4,Breakout Watch,extended
2026-05-08,AMZN,271.6300048828125,274.0,269.95001220703125,272.67999267578125,0.16704472415517646,0.29650049058543204,0.08984810552251687,0.06805479182806584,0.2284456987573662,259.595499420166,231.23959991455078,229.04069976806642,41220000.0,49026000.0,47043700.0,1.0421374169123603,0.8407783625015298,0.026959911391004985,0.05040339021608948,1.1336050024115574,-0.02110857601359528,-0.02110857601359528,-0.12945576643025558,0.1792097580887694,0.05040339021608948,1,2,2,1,0,1,1,7,Strong Bullish,0,0,0,0,0,1,1,No Setup,early_breakout
2026-05-08,AVGO,419.79998779296875,435.0,414.0,430.0,0.2115747529319567,0.2916015338721545,0.1978382830245573,0.06805479182806584,0.22354674204408864,410.1730010986328,358.8630004882813,347.44960021972656,20469380.0,20571490.0,24992248.0,0.8231148314469351,0.9950363342665018,0.035882071561591566,0.04833813744020526,1.1617914825718294,-0.017547049909293788,-0.017547049909293788,-0.08002678094019777,0.1982288489337917,0.04833813744020526,1,2,2,1,0,1,1,7,Strong Bullish,0,0,2,0,0,1,3,No Setup,early_breakout
2026-05-08,CROX,104.08000183105469,104.52999877929688,101.91999816894531,103.62999725341797,0.01647866949940835,0.2076681063026038,0.2916613849856222,0.06805479182806584,0.13961331447453795,103.61100006103516,91.86280014038086,90.1268000793457,999280.0,1202010.0,1268524.0,0.947565832416257,0.831340837430637,0.0388814689531299,0.00018335111495518464,1.0888786152248082,-0.08421709173099334,-0.08421709173099334,-0.19118943680319544,0.12809534539612313,0.00018335111495518464,1,2,2,1,0,1,1,7,Strong Bullish,0,0,0,0,1,1,2,No Setup,neutral
2026-05-08,ETSY,64.12999725341797,64.61499786376953,62.779998779296875,64.37999725341797,0.20516659416218475,0.11345551008678001,0.06801590174433181,0.06805479182806584,0.04540071825871417,62.912499618530276,56.78779983520508,56.19489997863769,2793440.0,3335405.0,2981656.0,1.1186417883216575,0.8375114866110712,0.04832469384695721,0.02332601063041302,1.1590838026351908,-0.09170429249256995,-0.09170429249256995,0.09171108407540474,0.1336941638916283,0.02332601063041302,1,1,2,1,1,1,1,7,Strong Bullish,0,1,0,2,1,1,5,Breakout Watch,early_breakout
2026-05-08,FATE,2.4000000953674316,2.4700000286102295,2.319999933242798,2.390000104904175,0.8818898746443902,1.0964913463988806,1.192660579556176,0.06805479182806584,1.0284365545708147,1.5679999947547913,1.3661999988555908,1.264799998998642,6495400.0,2755230.0,1928226.0,1.4288937085175701,2.357480137774342,0.07740585890332104,0.5242347658795308,1.5188834965941782,-0.03238863270421399,-0.03238863270421399,-0.2146014717544904,0.7493779145851112,0.5242347658795308,1,2,2,1,1,1,0,7,Strong Bullish,0,2,0,0,0,1,3,No Setup,extended
2026-05-08,GOOGL,397.0,402.0,396.3599853515625,400.79998779296875,0.25843825577696267,0.24140496183364846,0.40972878630610743,0.06805479182806584,0.17335017000558262,357.5209991455078,323.7289990234375,321.82089935302736,25470340.0,27309080.0,28755576.0,0.9496968518384051,0.9326692806934543,0.02579841115841732,0.12105299758867252,1.2125048455492022,-0.002985104992615062,-0.002985104992615062,0.01703329394331421,0.23807255143043712,0.12105299758867252,1,2,2,1,0,1,1,7,Strong Bullish,0,0,2,1,0,1,4,Breakout Watch,early_breakout
2026-05-08,HUT,105.7699966430664,106.18000030517578,96.79000091552734,98.45999908447266,0.5525071259413135,0.8556350647596249,1.0948935975419714,0.06805479182806584,0.7875802729315591,79.45550003051758,62.58419998168945,58.18424991607666,8220680.0,5265025.0,4813970.0,1.0936970940824309,1.561375302111576,0.07803894228000233,0.2391841854453845,1.3834707596737004,-0.11560228631014036,-0.11560228631014036,-0.30312793881831146,0.5732405161890629,0.2391841854453845,1,2,2,1,0,1,1,7,Strong Bullish,0,1,0,0,0,1,2,No Setup,extended
