system,balance,total_trades,win_rate,total_return_pct,max_drawdown_pct,avg_win_pct,avg_loss_pct,profit_factor
trend,1010.46,4,75.0,4.38,0.0,2.06,1.81,3.55
breakout,979.58,6,66.67,1.08,-4.03,1.28,2.02,0.37
