date,ticker,open,high,low,close,ret_21,ret_63,ret_126,spy_ret_63,rs_63,ma_20,ma_50,ma_100,avg_vol_5,avg_vol_20,avg_vol_50,vol_ratio_20_50,vol_acceleration,atr_pct,extension_pct,compression_ratio,proximity_20,proximity_50,rs_acceleration,extension_50ma,extension_20ma,structure_condition,relative_strength_score,trend_score,structure_score,volume_score,volatility_score,extension_score,total_score,signal,breakout_compression_score,breakout_volume_score,breakout_proximity_score,breakout_rs_acceleration_score,breakout_extension_score,breakout_structure_score,breakout_total_score,breakout_signal,tag
2026-05-05,STWD,18.049999237060547,18.329999923706055,18.030000686645508,18.260000228881836,0.05671293421844026,0.009955769133592085,0.004400435773550537,0.04965699647525157,-0.039701227341659484,18.092499828338624,17.797600021362303,18.024900035858153,2120040.0,2411475.0,3098020.0,0.7783923280030471,0.8791465804124032,0.014238770708897251,0.00925800205236716,0.8480100880606172,-0.011904725043508813,-0.011904725043508813,0.04675716508484817,0.025981042779055486,0.00925800205236716,1,0,2,0,0,1,1,4,Bullish,2,0,2,1,2,1,8,Strong Breakout Candidate,early_breakout
2026-05-05,ZION,62.43000030517578,63.29999923706055,62.189998626708984,63.130001068115234,0.07054434053414305,0.012347665975420918,0.21147573073669412,0.04965699647525157,-0.03730933049983065,62.221499824523924,58.8373999786377,59.62280017852783,1350900.0,1533275.0,1648876.0,0.9298910287977993,0.8810552575369716,0.023149504337542322,0.014601082361457867,0.8852849239333008,-0.012204643735865384,-0.012204643735865384,0.05819667455872213,0.07295701528340928,0.014601082361457867,1,0,2,0,0,1,1,4,Bullish,1,0,2,2,2,1,8,Strong Breakout Candidate,early_breakout
2026-05-05,CRWD,474.3900146484375,480.6600036621094,466.0,476.5299987792969,0.19547933140463392,0.1299409251544712,-0.1224287025851003,0.04965699647525157,0.08028392867921963,435.3174987792969,417.5407983398438,434.63789947509764,2056780.0,3242270.0,3829442.0,0.846669044732888,0.634364195455653,0.03580797577996414,0.09467227969371028,0.9044654396720417,-0.008592362275509413,-0.008592362275509413,0.06553840625016272,0.141277692321316,0.09467227969371028,1,2,1,0,0,1,1,5,Strong Bullish,1,0,2,2,1,1,7,Strong Breakout Candidate,early_breakout
2026-05-05,PMT,12.119999885559082,12.220000267028809,12.069999694824219,12.130000114440918,0.015062787284416679,0.0024793166963146263,0.007475095753574967,0.04965699647525157,-0.04717767977893694,12.021999979019165,11.867800045013428,12.315100021362305,918700.0,1105350.0,1074224.0,1.028975334753273,0.8311394580901976,0.019020136095647053,0.008983541474815735,0.8956299225533054,-0.019401760172879534,-0.023349433178068146,0.012583470588102053,0.022093401340854225,0.008983541474815735,1,0,2,0,0,1,1,4,Bullish,1,0,2,1,2,1,7,Strong Breakout Candidate,neutral
2026-05-05,TWO,12.300000190734863,12.369999885559082,12.220000267028809,12.260000228881836,0.11353314932010217,0.038103284782079694,0.26131686132447496,0.04965699647525157,-0.011553711693171875,11.289500093460083,10.710000057220459,11.130700035095215,3846480.0,2178015.0,3769122.0,0.577857389598957,1.76604844319254,0.018643682456729004,0.08596484586451762,0.5958589731215624,-0.03235989304997988,-0.03235989304997988,0.07542986453802247,0.1447245717441803,0.08596484586451762,1,0,2,0,0,1,1,4,Bullish,2,1,0,2,1,1,7,Strong Breakout Candidate,early_breakout
2026-05-05,WMT,130.50999450683594,131.72999572753906,130.3000030517578,130.7899932861328,0.03154816895435175,0.024117095166706015,0.2926466978814819,0.04965699647525157,-0.025539901308545554,128.35749931335448,125.96799942016601,122.61349975585938,13571180.0,16267620.0,18527662.0,0.8780179603880943,0.8342449602338879,0.0194368321050285,0.01895092990897223,0.9356432612331395,-0.019344694650305194,-0.019344694650305194,0.007431073787645737,0.03827951454466664,0.01895092990897223,1,0,2,1,0,1,1,5,Strong Bullish,1,0,2,1,2,1,7,Strong Breakout Candidate,neutral
2026-05-05,AAPL,276.92999267578125,284.57000732421875,276.5,284.17999267578125,0.09781352374655805,0.0545494325744218,0.05107814405443922,0.04965699647525157,0.004892436099170228,268.79149932861327,261.82359985351565,263.8580987548828,59516240.0,46019845.0,43373996.0,1.061000812560595,1.2932733693475065,0.023913411666377997,0.05725066970348884,1.121034978834927,-0.01058425085997372,-0.01058425085997372,0.043264091172136254,0.085387233369236,0.05725066970348884,1,0,2,0,0,1,1,4,Bullish,0,1,2,1,1,1,6,Strong Breakout Candidate,early_breakout
2026-05-05,ABR,7.960000038146973,8.029999732971191,7.849999904632568,8.0,0.06666666666666665,0.04849277588591416,-0.20713578998825344,0.04965699647525157,-0.0011642205893374058,7.883500003814698,7.823800010681152,7.859600009918213,2889620.0,2286520.0,3334084.0,0.6858015574892534,1.2637632734461102,0.03017857245036534,0.014777699769002338,0.8519004461093209,-0.03498190147014246,-0.10112355697818531,0.01817389078075249,0.022521024192629826,0.014777699769002338,1,0,1,0,0,1,1,3,Bullish,1,1,0,1,2,1,6,Strong Breakout Candidate,early_breakout
2026-05-05,AMZN,276.0799865722656,278.55999755859375,272.3800048828125,273.54998779296875,0.2855397172043408,0.1463833433515367,0.12009657859988265,0.04965699647525157,0.09672634687628512,253.31749954223633,227.4051998901367,227.7347998046875,62996860.0,51960300.0,47342834.0,1.0975325220285714,1.2124037005175106,0.027315456897020775,0.07987007722440824,1.1520062528120785,-0.017985388460420193,-0.017985388460420193,0.1391563738528041,0.20291878956648907,0.07987007722440824,1,2,2,0,0,1,1,6,Strong Bullish,0,1,2,2,0,1,6,Strong Breakout Candidate,early_breakout
2026-05-05,APP,480.1700134277344,483.2900085449219,469.6199951171875,478.1099853515625,0.15854898186737598,0.0353406884182359,-0.24982352544025266,0.04965699647525157,-0.01431630805701567,449.1560028076172,442.31520202636716,505.50445037841797,2823360.0,3944345.0,4488730.0,0.8787218210941625,0.7157994546623077,0.04681931720617832,0.06446308712998965,0.8429917691745603,-0.0282119660121547,-0.08119379120101888,0.12320829344914008,0.08092596221248925,0.06446308712998965,1,0,1,0,0,1,1,3,Bullish,2,0,0,2,1,1,6,Strong Breakout Candidate,early_breakout
