Date,IONQ_Open,IONQ_High,IONQ_Low,IONQ_Close,IONQ_Volume,QBTS_Open,QBTS_High,QBTS_Low,QBTS_Close,QBTS_Volume,RGTI_Open,RGTI_High,RGTI_Low,RGTI_Close,RGTI_Volume,QUBT_Open,QUBT_High,QUBT_Low,QUBT_Close,QUBT_Volume,XNDU_Open,XNDU_High,XNDU_Low,XNDU_Close,XNDU_Volume,INFQ_Open,INFQ_High,INFQ_Low,INFQ_Close,INFQ_Volume,HQ_Open,HQ_High,HQ_Low,HQ_Close,HQ_Volume
2026-04-21,48.6,48.73,45.72,46.28,38384100,21.83,21.85,20.28,20.36,37186700,19.66,19.88,18.16,18.25,35942000,10.01,10.1,9.39,9.41,18006600,26.81,26.94,20.74,22.9,3646800,15.68,15.8,14.68,15.01,15184600,13.26,13.26,11.2,11.75,194000
2026-04-22,47.26,49.13,46.54,47.36,34667700,20.91,21.8,20.69,21.24,33929200,18.78,19.23,17.92,18.38,34076000,9.59,10.17,9.56,9.86,16293600,26.91,35.08,24.25,34.75,7387100,15.07,15.7,14.37,14.85,13848500,12.01,12.69,11.51,11.95,158000
2026-04-23,46.61,47.84,41.92,43.63,35984300,20.65,21.16,18.98,19.31,29505600,18.01,18.27,16.5,16.86,27598800,9.71,9.9,8.88,9.05,18933600,32.91,33.16,27.68,28.85,3526400,14.62,15.88,13.18,13.96,14817000,11.75,11.79,10.66,11.5,143600
2026-04-24,44.38,44.39,41.26,42.69,20671100,19.67,19.68,17.9,18.49,23877500,17.12,17.15,16.1,16.61,19593900,9.26,9.27,8.59,8.94,13060000,32.02,34.85,29.5,30.95,3650300,14.01,14.28,13.05,13.27,10195300,11.43,11.59,10.67,11.37,53200
2026-04-27,42.18,44.07,41.11,43.84,22968700,18.14,18.99,17.91,18.8,19625300,16.25,16.95,16.11,16.91,18203500,8.81,9.12,8.7,9.1,7438700,31.08,31.54,26.76,28.68,2209000,13.05,13.83,12.76,13.3,8279400,11.63,12.7,11.37,11.63,135200
2026-04-28,42.55,44.27,42.25,43.08,21447700,18.15,18.45,17.66,18.11,15993400,16.47,16.63,16.05,16.39,17554300,8.83,8.88,8.41,8.57,8744700,26.05,29.0,24.43,27.7,1776200,12.78,13.0,12.3,12.62,7646700,11.1,11.25,9.88,10.02,145100
2026-04-29,42.63,42.63,39.76,42.11,24594100,18.26,18.41,17.11,18.27,18971000,16.23,16.25,15.3,16.08,21490000,8.52,8.52,7.98,8.28,11370400,27.51,29.5,26.15,27.9,1284300,12.41,12.48,11.75,12.06,6384300,10.08,10.33,9.61,10.0,76700
2026-04-30,41.94,45.48,41.49,45.12,23258800,18.31,20.36,18.22,20.28,29793500,16.12,17.51,16.06,17.45,25523300,8.33,9.09,8.19,9.02,11042700,28.63,32.45,27.5,29.1,2158000,12.01,12.48,11.61,11.89,7004200,10.1,10.34,9.8,9.92,86900
2026-05-01,44.85,46.31,43.8,46.2,20621900,20.1,20.67,19.57,20.49,20364100,17.16,17.64,16.81,17.5,16601500,9.01,9.23,8.84,9.21,10240100,29.5,38.44,29.5,36.12,4307000,11.99,12.41,11.35,12.41,7529400,10.59,10.86,10.08,10.76,120700
2026-05-04,46.53,49.14,45.31,45.75,26396700,20.44,21.72,20.14,20.92,24790300,17.51,18.65,17.33,17.7,27828800,9.15,9.88,9.14,9.5,13368400,13.23,15.99,12.0,13.99,49393500,12.43,12.83,12.02,12.28,8800400,11.07,11.07,9.93,10.05,79400
2026-05-05,46.61,48.34,44.79,48.0,33457000,21.43,21.7,20.36,21.54,19394800,17.89,18.47,17.08,18.27,24574700,9.59,9.62,9.15,9.56,9078900,14.03,14.66,13.12,13.5,8901100,12.41,12.59,11.48,12.1,6635800,10.0,10.39,9.34,9.69,135400
2026-05-06,49.1,53.49,48.57,52.57,58397500,21.92,24.04,21.7,23.83,39634300,18.71,20.12,18.49,20.09,35257900,9.7,10.53,9.59,10.46,19566500,13.43,14.98,12.45,14.76,10505800,12.4,13.74,12.33,13.55,9500100,10.22,10.95,10.05,10.4,319000
2026-05-07,50.03,51.9,46.27,47.68,42874600,23.05,23.68,21.81,21.99,25873000,19.27,19.64,18.07,18.34,25537300,10.06,10.23,9.37,9.63,13437600,14.87,19.5,14.45,17.38,19924600,13.25,13.3,12.05,12.11,7090600,10.81,10.94,9.68,10.0,367700
2026-05-08,48.69,49.44,45.72,49.24,25990700,22.2,22.67,21.42,22.57,20169000,18.83,19.0,17.75,18.94,18261100,9.81,9.95,9.22,9.6,12801000,18.2,18.31,15.0,15.71,11581500,12.26,12.45,11.57,12.12,5864100,10.34,10.44,9.85,10.21,153200
2026-05-11,48.14,58.54,47.89,56.89,61486200,22.2,24.78,21.77,24.03,36127100,18.67,20.85,18.33,20.51,44620300,9.49,10.31,9.33,10.18,31560900,14.81,15.85,14.23,14.78,7854800,11.87,13.18,11.6,12.84,7544100,10.49,12.84,9.92,12.57,402600
2026-05-12,57.25,59.15,52.17,55.87,51692800,22.42,23.91,20.88,22.35,46895200,20.5,21.02,18.23,19.07,49520600,12.7,14.45,11.29,11.78,141078800,15.29,15.32,13.92,14.15,4342300,12.99,13.63,12.49,13.1,10659700,12.33,12.43,11.55,11.76,134200
2026-05-13,55.94,56.18,52.94,55.26,24146500,22.38,22.39,20.7,21.44,25576500,19.15,19.17,17.89,18.42,27158600,11.69,11.72,10.85,11.03,36152600,14.38,15.55,13.66,14.89,4949800,13.31,13.75,13.02,13.29,9067700,11.76,12.43,11.25,12.31,109500
2026-05-14,54.4,58.18,53.91,57.47,26379200,20.86,22.53,20.39,22.13,28148900,18.16,19.83,17.83,19.27,33827800,10.81,12.32,10.54,11.73,36851500,15.16,15.51,14.35,15.13,4183900,13.33,14.33,12.76,13.97,12353300,12.44,12.44,11.67,12.2,89600
2026-05-15,54.5,54.7,51.28,51.95,27273200,21.14,21.25,20.2,20.35,23761800,18.44,18.47,17.55,17.85,27061900,11.24,11.24,10.5,10.51,21801200,14.0,14.23,13.48,13.6,4892600,12.88,13.16,12.11,12.44,11697400,12.26,12.26,10.8,11.91,101400
2026-05-18,51.81,52.2,47.48,49.31,31649800,20.11,20.2,18.33,19.06,24639800,17.91,17.93,16.02,16.62,31095700,10.5,10.5,9.43,9.72,18177700,13.52,13.56,12.0,12.16,4088300,12.65,12.75,10.95,11.37,12069000,11.61,12.15,11.01,11.36,110000
2026-05-19,47.64,49.44,45.51,48.44,22197000,18.77,19.14,17.74,18.19,21512900,16.27,16.76,15.46,15.96,20581400,9.55,9.77,9.14,9.22,11586700,12.36,12.45,11.62,11.72,2858000,11.07,11.34,10.32,10.63,7308900,11.4,11.6,10.8,11.23,59100
2026-05-20,49.25,52.74,48.35,52.47,22745900,18.53,19.45,18.32,19.3,21855400,16.09,17.21,15.85,16.88,27194100,9.32,9.66,9.19,9.56,13615900,11.9,14.68,11.88,14.13,8089700,10.65,11.29,10.45,11.18,6638200,11.74,11.74,10.26,10.84,112600
2026-05-21,54.61,61.12,53.93,58.89,62941400,21.76,25.83,21.61,25.74,119132500,18.68,22.1,18.4,22.04,148238500,10.47,11.44,10.32,11.41,57198100,14.56,15.59,13.85,14.45,8811900,13.5,16.09,13.39,14.7,78638200,11.54,12.3,11.08,11.99,282000
2026-05-22,58.0,65.8,58.0,63.64,52650100,26.34,31.55,26.11,29.4,141703200,22.96,27.78,22.66,26.42,204233200,11.61,13.39,11.61,12.31,68053900,14.83,16.14,14.6,15.18,8401500,15.9,18.2,15.71,16.35,65623600,12.17,14.2,11.7,13.9,672400
2026-05-26,64.3,65.0,60.09,63.62,30128800,29.35,29.48,26.33,27.82,54691500,26.01,26.57,23.72,25.07,89078700,12.48,12.53,11.27,11.68,34034000,15.95,18.32,15.95,17.84,10498800,16.48,16.65,14.93,15.88,33591900,14.65,14.65,11.75,11.84,527200
2026-05-27,62.67,66.81,59.71,65.4,29691000,27.26,28.05,25.69,27.48,34015400,24.62,25.85,23.62,24.62,56481100,11.55,11.82,11.12,11.42,20366900,19.2,19.34,16.62,17.2,7061900,16.0,16.41,14.66,15.46,25437900,12.14,12.74,11.35,11.94,211500
2026-05-28,64.87,71.47,64.72,70.14,31801200,27.79,30.22,27.01,29.49,54482200,24.89,27.58,24.15,27.03,86061200,11.4,12.39,11.32,12.24,30904200,17.24,17.83,16.08,17.32,5457500,15.82,18.25,15.5,17.77,38025200,12.05,13.29,11.5,13.08,279000
2026-05-29,69.64,72.17,66.8,72.07,28460800,28.8,30.16,27.42,30.14,36381200,26.44,26.56,24.43,25.54,61186100,12.0,12.1,11.48,11.96,21438100,17.59,17.6,16.12,16.17,3716600,17.5,17.59,15.61,16.22,29498600,13.23,13.9,12.82,13.2,318300
2026-06-01,69.64,72.42,66.97,69.28,28317600,28.95,31.12,27.83,29.18,49079000,24.74,26.48,24.05,25.63,70028400,11.67,13.0,11.03,12.39,32254600,16.14,16.46,15.55,16.1,3378600,16.01,18.57,15.73,17.69,29339400,13.69,13.69,12.5,12.71,239100
2026-06-02,69.35,72.63,69.09,71.4,27651000,29.41,31.3,28.99,29.91,48442500,25.46,27.24,25.43,26.88,74159600,12.24,12.7,11.82,12.25,25479600,15.81,17.42,15.76,16.93,3652800,18.31,20.75,18.0,19.87,31989600,12.68,13.96,12.17,13.87,536500
2026-06-03,70.32,73.65,67.51,68.23,30856300,29.49,29.95,27.38,27.55,42311000,26.56,28.06,23.78,24.09,78372500,11.95,12.35,11.17,11.2,22087700,16.59,16.59,14.56,14.8,5310100,18.75,19.06,17.25,17.41,25226100,13.65,13.8,12.41,12.59,492600
2026-06-04,67.05,69.46,64.18,65.66,40211400,27.04,28.82,26.45,27.64,39223000,23.38,25.02,22.95,24.16,48003300,11.0,11.41,10.73,11.19,17495300,14.36,14.98,14.08,14.46,2342000,17.01,18.07,16.64,16.95,16143600,12.35,12.81,11.78,11.91,316600
2026-06-05,63.51,63.79,55.84,56.78,32124900,26.56,26.59,23.28,23.85,34320000,23.17,23.19,20.1,20.68,50337900,10.9,10.9,9.81,9.95,21673600,13.85,13.9,12.62,12.9,4175900,16.16,16.4,14.3,14.56,19441400,11.67,11.9,9.8,10.51,303200
2026-06-08,59.54,64.9,57.96,62.8,28561700,24.7,26.73,24.0,25.83,29009500,21.34,22.79,20.73,21.76,35468700,10.3,10.63,9.95,10.45,12412500,13.32,13.55,12.8,13.07,2152000,15.17,15.44,14.35,14.81,14234200,10.75,12.0,10.36,11.22,196500
2026-06-09,62.4,63.95,53.26,56.69,35304000,25.75,26.66,22.35,23.52,37886900,21.67,22.63,18.47,19.69,49060800,10.37,10.66,9.06,9.51,17771900,13.07,13.22,11.82,12.0,3279300,14.97,15.48,13.15,13.71,15810500,11.13,11.73,10.4,10.72,146500
2026-06-10,57.74,60.75,56.5,56.63,23605600,23.27,24.78,23.15,23.25,20856500,19.59,20.84,19.38,19.44,32632200,9.39,10.09,9.32,9.53,13687400,12.35,12.48,11.75,11.76,1984600,13.72,14.73,13.56,13.58,10732500,10.52,11.23,10.01,10.01,150100
2026-06-11,56.54,59.47,54.75,57.99,25218800,23.16,24.41,22.75,23.82,25165300,19.27,21.23,19.16,20.63,46720800,9.48,10.05,9.33,9.91,13028600,11.55,12.49,11.55,12.46,2328600,13.51,14.3,13.22,14.12,10946900,10.03,10.47,9.75,10.39,197500
2026-06-12,57.7,60.23,56.16,57.85,24732300,23.64,24.48,22.86,23.37,27862100,20.66,21.94,20.28,20.98,34662800,10.01,10.49,9.68,9.93,12384000,12.52,12.6,11.73,11.79,2125000,14.09,14.39,13.35,13.42,11257200,10.52,11.17,10.3,10.91,134900
