ticker,description,coupon,par_value,maturity,redemption_date,exchange,current_price,52_week_high,52_week_low,volume,avg_volume,dividend_rate,dividend_yield,discount_to_par_pct,is_discount,range_width_pct,position_in_range_pct,current_yield_pct,coupon_pct,days_to_redemption,years_to_redemption,discount_num,yield_num,range_num
ABXL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes,9.875,25,2027-02-15,2027-02-15,NYSE,25.434999465942383,26.350000381469727,19.537865088560906,N/A,8689.243027888446,N/A,N/A,-1.7,False,34.9,86.6,N/A,9.875,316,0.9,-1.7,,34.9
ADAMH,Adamas Trust Inc 9.875% Senior Notes due 10/01/2030,9.875,25,2030-10-01,2027-10-01,NGS,25.094999313354492,25.36457808026814,23.146263487745557,N/A,33429.032258064515,N/A,N/A,-0.4,False,9.6,87.8,N/A,9.875,544,1.5,-0.4,,9.6
ADAMG,Adamas Trust Inc 9.125% Senior Notes due 04/01/2030,9.125,25,2030-04-01,2027-04-01,NGS,24.469999313354492,24.899999618530273,20.709473893168337,N/A,23295.219123505976,N/A,N/A,2.1,True,20.2,89.7,N/A,9.125,361,1.0,2.1,,20.2
ADAMI,Adamas Trust Inc. 9.125% Senior Notes due 07/01/2029,9.125,25,2029-07-01,2026-07-01,NGS,24.719999313354492,24.940000534057617,21.071778033120175,N/A,9386.852589641434,N/A,N/A,1.1,True,18.4,94.3,N/A,9.125,87,0.2,1.1,,18.4
ADAMO,Adamas Trust Inc. 9.250% Senior Notes due 2031,9.25,25,2031-04-01,2028-04-01,NGS,24.44499969482422,26.857201028026584,23.780000686645508,N/A,39914.545454545456,N/A,N/A,2.2,True,12.9,21.6,N/A,9.25,727,2.0,2.2,,12.9
AEFC,AEGON Funding Company LLC. 5.10% Subordinated Notes due 12/15/2049,5.1,25,2049-12-15,2024-12-15,NYSE,19.190000534057617,20.71945837221244,17.455409031277664,N/A,47753.78486055777,N/A,N/A,23.2,True,18.7,53.1,N/A,5.1,-476,-1.3,23.2,,18.7
MGR,Affiliated Managers Group 5.875% Junior Subordinated Notes due 3/30/2059,5.875,25,2059-03-30,2024-03-30,NYSE,19.68000030517578,21.968926841619826,18.580112715029824,N/A,24339.442231075696,N/A,N/A,21.3,True,18.2,32.5,N/A,5.875,-736,-2.0,21.3,,18.2
MGRD,Affiliated Managers Group Inc. 4.20% Junior Subordinated Notes due 9/30/2061,4.2,25,2061-09-30,2026-09-30,NYSE,14.739999771118164,16.101997213168698,13.650556116383552,N/A,11448.605577689243,N/A,N/A,41.0,True,18.0,44.4,N/A,4.2,178,0.5,41.0,,18.0
MGRB,Affiliated Managers Group Inc. 4.75% Junior Subordinated Notes due 9/30/2060,4.75,25,2060-09-30,2025-09-30,NYSE,16.139999389648438,18.141851567151352,15.055372699817127,N/A,19566.533864541834,N/A,N/A,35.4,True,20.5,35.1,N/A,4.75,-187,-0.5,35.4,,20.5
MGRE,Affiliated Managers Group Inc. 6.750% Junior Subordinated Notes due 3/30/2064,6.75,25,2064-03-30,2029-03-30,NYSE,22.719999313354492,24.372392734162915,20.979961737614566,N/A,31355.77689243028,N/A,N/A,9.1,True,16.2,51.3,N/A,6.75,1090,3.0,9.1,,16.2
MITN,AG Mortgage Investment Trust 9.500% Senior Notes due 2/15/2029,9.5,25,2029-02-15,2026-02-15,NYSE,25.18000030517578,25.399999618530273,19.566461290631974,N/A,5233.466135458168,N/A,N/A,-0.7,False,29.8,96.2,N/A,9.5,-49,-0.1,-0.7,,29.8
MITP,AG Mortgage Investment Trust Inc 9.500% Senior Notes due 5/15/2029,9.5,25,2029-05-15,2026-05-15,NYSE,25.209999084472656,25.649999618530273,23.63584067569885,N/A,8299.601593625497,N/A,N/A,-0.8,False,8.5,78.2,N/A,9.5,40,0.1,-0.8,,8.5
AQNB,Algonquin Power & Utilities Corp. 6.20% Fix/Float Sub Notes 2019A Due 7/1/2079,6.2,25,2079-07-01,2024-07-01,NYSE,26.0,26.200000762939453,23.118933860939023,N/A,33864.940239043826,N/A,N/A,-4.0,False,13.3,93.5,N/A,6.2,-643,-1.8,-4.0,,13.3
AFGC,American Financial Group 5.125% Subordinated Debentures due 12/15/2059,5.125,25,2059-12-15,2024-12-15,NYSE,18.18000030517578,20.114832451237664,17.020497388760155,N/A,11389.641434262949,N/A,N/A,27.3,True,18.2,37.5,N/A,5.125,-476,-1.3,27.3,,18.2
AFGB,American Financial Group 5.875% Subordinated Debentures due 3/30/2059,5.875,25,2059-03-30,2024-03-30,NYSE,20.559999465942383,22.68832826724592,19.335805222902696,N/A,10031.87250996016,N/A,N/A,17.8,True,17.3,36.5,N/A,5.875,-736,-2.0,17.8,,17.3
AFGE,American Financial Group Inc. 4.50% Subordinated Debentures due 9/15/2060,4.5,25,2060-09-15,2025-09-15,NYSE,16.239999771118164,18.791108421268405,15.211002510156732,N/A,9167.330677290836,N/A,N/A,35.0,True,23.5,28.7,N/A,4.5,-202,-0.6,35.0,,23.5
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 6/1/2060,5.625,25,2060-06-01,2025-06-01,NYSE,19.850000381469727,22.06127755608442,17.009675612755018,N/A,7745.418326693227,N/A,N/A,20.6,True,29.7,56.2,N/A,5.625,-308,-0.8,20.6,,29.7
AOMN,Angel Oak Mortgage REIT Inc. 9.50% Senior Notes due 07/30/2029,9.5,25,2029-07-30,2026-07-30,NYSE,25.15999984741211,25.959999084472656,23.600000381469727,N/A,8070.517928286853,N/A,N/A,-0.6,False,10.0,66.1,N/A,9.5,116,0.3,-0.6,,10.0
AOMD,Angel Oak Mortgage REIT Inc. 9.75% Senior Notes due 6/1/2030,9.75,25,2030-06-01,2027-06-01,NYSE,24.780000686645508,25.829999923706055,23.03136533942066,N/A,8374.418604651162,N/A,N/A,0.9,True,12.2,62.5,N/A,9.75,422,1.2,0.9,,12.2
APOS,Apollo Global Management Reset Rate Junior Subordinated Notes due 9/15/2053,7.0,25,2053-09-15,2028-12-15,NYSE,25.520000457763672,26.235197790550945,23.143736390108472,N/A,50161.35458167331,N/A,N/A,-2.1,False,13.4,76.9,N/A,7.0,985,2.7,-2.1,,13.4
UZE,Array Digital Infrastructure Inc. 5.50% Senior Notes due 3/1/2070,5.5,25,2070-03-01,2026-03-01,NGS,18.1299991607666,21.113173687858662,15.64358583991925,N/A,37446.613545816734,N/A,N/A,27.5,True,35.0,45.5,N/A,5.5,-35,-0.1,27.5,,35.0
UZD,Array Digital Infrastructure Inc. 6.25% Senior Notes due 9/1/2069,6.25,25,2069-09-01,2025-09-01,NGS,20.299999237060547,24.30703603594493,18.078799983670198,N/A,36252.988047808765,N/A,N/A,18.8,True,34.5,35.7,N/A,6.25,-216,-0.6,18.8,,34.5
ASBA,Associated Banc-Corp Reset Rate Subordinated Notes due 03/01/2033,7.0,25,2033-03-01,2028-03-01,NYSE,24.5,25.040000915527344,21.483383066839632,N/A,18633.86454183267,N/A,N/A,2.0,True,16.6,84.8,N/A,7.0,696,1.9,2.0,,16.6
