ticker,description,coupon,par_value,maturity,redemption_date,exchange,current_price,52_week_high,52_week_low,volume,avg_volume,dividend_rate,dividend_yield,discount_to_par_pct,is_discount,range_width_pct,position_in_range_pct,current_yield_pct,coupon_pct,days_to_redemption,years_to_redemption,discount_num,yield_num,range_num
BHFAN,Brighthouse Financial Inc. 5.375% DEP PFD C,5.375,25,2058-12-31,2024-12-31,NGS,13.140000343322754,16.036214533236144,10.682456224140878,N/A,123407.6,1.34,10.23,47.4,True,50.1,45.9,10.23,5.375,-474,-1.3,47.4,10.23,50.1
BHFAO,Brighthouse Financial Inc. 6.75% DP SHS PF B,6.75,25,2058-12-31,2024-12-31,NGS,16.739999771118164,20.235937956422934,13.159850896527239,N/A,71048.4,1.69,10.07,33.0,True,53.8,50.6,10.07,6.75,-474,-1.3,33.0,10.07,53.8
OFS,OFS Capital Corp. 7.50% Notes due 07/31/2028,7.5,25,2028-07-31,2026-07-31,NGS,4.139999866485596,7.929560660730471,2.7200000286102295,N/A,75757.2,0.68,16.37,83.4,True,191.5,27.3,16.37,7.5,103,0.3,83.4,16.37,191.5
RWAY,Runway Growth Finance Corp. 7.50% Notes Due 07/28/2027,7.5,25,2027-07-28,2024-07-28,NGS,6.769999980926514,10.211830652083002,6.369999885559082,N/A,370393.6,1.37,20.24,72.9,True,60.3,10.4,20.24,7.5,-630,-1.7,72.9,20.24,60.3
