ticker,description,coupon,par_value,maturity,redemption_date,exchange,current_price,52_week_high,52_week_low,volume,avg_volume,dividend_rate,dividend_yield,discount_to_par_pct,is_discount,range_width_pct,position_in_range_pct,current_yield_pct,coupon_pct,days_to_redemption,years_to_redemption,discount_num,yield_num,range_num
ABXL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes,9.875,25,2027-02-15,2027-02-15,NYSE,25.466999053955078,26.350000381469727,19.537865088560906,N/A,9288.97609561753,N/A,N/A,-1.9,False,34.9,87.0,N/A,9.875,319,0.9,-1.9,,34.9
ADAMH,Adamas Trust Inc 9.875% Senior Notes due 10/01/2030,9.875,25,2030-10-01,2027-10-01,NGS,25.099899291992188,25.36457808026814,23.146263487745557,N/A,33561.27567567568,N/A,N/A,-0.4,False,9.6,88.1,N/A,9.875,547,1.5,-0.4,,9.6
ADAMG,Adamas Trust Inc 9.125% Senior Notes due 04/01/2030,9.125,25,2030-04-01,2027-04-01,NGS,24.450000762939453,24.899999618530273,20.709473893168337,N/A,23536.84860557769,N/A,N/A,2.2,True,20.2,89.3,N/A,9.125,364,1.0,2.2,,20.2
ADAMI,Adamas Trust Inc. 9.125% Senior Notes due 07/01/2029,9.125,25,2029-07-01,2026-07-01,NGS,24.75,24.940000534057617,21.071778033120175,N/A,9540.97609561753,N/A,N/A,1.0,True,18.4,95.1,N/A,9.125,90,0.2,1.0,,18.4
ADAMO,Adamas Trust Inc. 9.250% Senior Notes due 2031,9.25,25,2031-04-01,2028-04-01,NGS,24.43000030517578,26.857201028026584,23.780000686645508,N/A,40297.555555555555,N/A,N/A,2.3,True,12.9,21.1,N/A,9.25,730,2.0,2.3,,12.9
AEFC,AEGON Funding Company LLC. 5.10% Subordinated Notes due 12/15/2049,5.1,25,2049-12-15,2024-12-15,NYSE,19.100000381469727,20.71945837221244,17.455409031277664,N/A,47990.147410358564,N/A,N/A,23.6,True,18.7,50.4,N/A,5.1,-473,-1.3,23.6,,18.7
MGR,Affiliated Managers Group 5.875% Junior Subordinated Notes due 3/30/2059,5.875,25,2059-03-30,2024-03-30,NYSE,19.649999618530273,21.968926841619826,18.580114609067007,N/A,24370.725099601594,N/A,N/A,21.4,True,18.2,31.6,N/A,5.875,-733,-2.0,21.4,,18.2
MGRD,Affiliated Managers Group Inc. 4.20% Junior Subordinated Notes due 9/30/2061,4.2,25,2061-09-30,2026-09-30,NYSE,14.670000076293945,16.101997213168698,13.650555178122199,N/A,11478.187250996016,N/A,N/A,41.3,True,18.0,41.6,N/A,4.2,181,0.5,41.3,,18.0
MGRB,Affiliated Managers Group Inc. 4.75% Junior Subordinated Notes due 9/30/2060,4.75,25,2060-09-30,2025-09-30,NYSE,16.06999969482422,18.141851567151352,15.055372699817127,N/A,19555.99203187251,N/A,N/A,35.7,True,20.5,32.9,N/A,4.75,-184,-0.5,35.7,,20.5
MGRE,Affiliated Managers Group Inc. 6.750% Junior Subordinated Notes due 3/30/2064,6.75,25,2064-03-30,2029-03-30,NYSE,22.469999313354492,24.372392734162915,20.979961737614566,N/A,31287.96812749004,N/A,N/A,10.1,True,16.2,43.9,N/A,6.75,1093,3.0,10.1,,16.2
