ticker,description,coupon,par_value,maturity,redemption_date,exchange,current_price,52_week_high,52_week_low,volume,avg_volume,dividend_rate,dividend_yield,discount_to_par_pct,is_discount,range_width_pct,position_in_range_pct,current_yield_pct,coupon_pct,days_to_redemption,years_to_redemption,discount_num,yield_num,range_num
BHFAN,Brighthouse Financial Inc. 5.375% DEP PFD C,5.375,25,2058-12-31,2024-12-31,NGS,12.399999618530273,16.036213566696933,10.682457138952941,N/A,123925.59523809524,1.34,11.2,50.4,True,50.1,32.1,11.2,5.375,-457,-1.3,50.4,11.2,50.1
BHFAO,Brighthouse Financial Inc. 6.75% DP SHS PF B,6.75,25,2058-12-31,2024-12-31,NGS,15.90999984741211,20.23593990667346,13.159850896527239,N/A,70631.5992063492,1.69,10.85,36.4,True,53.8,38.9,10.85,6.75,-457,-1.3,36.4,10.85,53.8
OFS,OFS Capital Corp. 7.50% Notes due 07/31/2028,7.5,25,2028-07-31,2026-07-31,NGS,3.440000057220459,8.047501892919902,2.7200000286102295,N/A,75464.25793650794,0.68,19.15,86.2,True,195.9,13.5,19.15,7.5,120,0.3,86.2,19.15,195.9
RWAY,Runway Growth Finance Corp. 7.50% Notes Due 07/28/2027,7.5,25,2027-07-28,2024-07-28,NGS,6.809999942779541,10.211830652083002,6.579999923706055,N/A,356341.6468253968,1.37,19.93,72.8,True,55.2,6.3,19.93,7.5,-613,-1.7,72.8,19.93,55.2
