ticker,description,coupon,par_value,maturity,redemption_date,exchange,current_price,52_week_high,52_week_low,volume,avg_volume,dividend_rate,dividend_yield,discount_to_par_pct,is_discount,range_width_pct,position_in_range_pct,current_yield_pct,coupon_pct,days_to_redemption,years_to_redemption,discount_num,yield_num,range_num
ABXL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes,9.875,25,2027-02-15,2027-02-15,NYSE,25.719999313354492,26.350000381469727,19.537865088560906,N/A,8212.8,N/A,N/A,-2.9,False,34.9,90.8,N/A,9.875,302,0.8,-2.9,,34.9
ADAMH,Adamas Trust Inc 9.875% Senior Notes due 10/01/2030,9.875,25,2030-10-01,2027-10-01,NGS,25.315000534057617,25.399999618530273,23.146262319054642,N/A,32743.367346938776,N/A,N/A,-1.3,False,9.7,96.2,N/A,9.875,530,1.5,-1.3,,9.7
ADAMG,Adamas Trust Inc 9.125% Senior Notes due 04/01/2030,9.125,25,2030-04-01,2027-04-01,NGS,24.954999923706055,25.0,21.238615036010742,N/A,20527.2,N/A,N/A,0.2,True,17.7,98.8,N/A,9.125,347,1.0,0.2,,17.7
ADAMI,Adamas Trust Inc. 9.125% Senior Notes due 07/01/2029,9.125,25,2029-07-01,2026-07-01,NGS,25.243999481201172,25.32900047302246,21.856606592828314,N/A,8693.2,N/A,N/A,-1.0,False,15.9,97.6,N/A,9.125,73,0.2,-1.0,,15.9
ADAMO,Adamas Trust Inc. 9.250% Senior Notes due 2031,9.25,25,2031-04-01,2028-04-01,NGS,24.610000610351562,26.857201028026584,23.780000686645508,N/A,43810.769230769234,N/A,N/A,1.6,True,12.9,27.0,N/A,9.25,713,2.0,1.6,,12.9
AEFC,AEGON Funding Company LLC. 5.10% Subordinated Notes due 12/15/2049,5.1,25,2049-12-15,2024-12-15,NYSE,19.93000030517578,20.71945837221244,17.455409031277664,N/A,44016.4,N/A,N/A,20.3,True,18.7,75.8,N/A,5.1,-490,-1.3,20.3,,18.7
MGR,Affiliated Managers Group 5.875% Junior Subordinated Notes due 3/30/2059,5.875,25,2059-03-30,2024-03-30,NYSE,20.360000610351562,21.968926841619826,18.580112715029824,N/A,23761.6,N/A,N/A,18.6,True,18.2,52.5,N/A,5.875,-750,-2.1,18.6,,18.2
MGRD,Affiliated Managers Group Inc. 4.20% Junior Subordinated Notes due 9/30/2061,4.2,25,2061-09-30,2026-09-30,NYSE,15.055000305175781,16.101997213168698,13.650555178122199,N/A,11132.8,N/A,N/A,39.8,True,18.0,57.3,N/A,4.2,164,0.4,39.8,,18.0
MGRB,Affiliated Managers Group Inc. 4.75% Junior Subordinated Notes due 9/30/2060,4.75,25,2060-09-30,2025-09-30,NYSE,16.799999237060547,18.141851567151352,15.14871056792107,N/A,17332.8,N/A,N/A,32.8,True,19.8,55.2,N/A,4.75,-201,-0.6,32.8,,19.8
MGRE,Affiliated Managers Group Inc. 6.750% Junior Subordinated Notes due 3/30/2064,6.75,25,2064-03-30,2029-03-30,NYSE,23.920000076293945,24.372392734162915,21.194329735359027,N/A,30194.4,N/A,N/A,4.3,True,15.0,85.8,N/A,6.75,1076,2.9,4.3,,15.0
MITN,AG Mortgage Investment Trust 9.500% Senior Notes due 2/15/2029,9.5,25,2029-02-15,2026-02-15,NYSE,25.549999237060547,25.600000381469727,22.742596747892772,N/A,4740.4,N/A,N/A,-2.2,False,12.6,98.3,N/A,9.5,-63,-0.2,-2.2,,12.6
MITP,AG Mortgage Investment Trust Inc 9.500% Senior Notes due 5/15/2029,9.5,25,2029-05-15,2026-05-15,NYSE,25.520000457763672,25.649999618530273,23.977679452767774,N/A,7891.6,N/A,N/A,-2.1,False,7.0,92.2,N/A,9.5,26,0.1,-2.1,,7.0
AQNB,Algonquin Power & Utilities Corp. 6.20% Fix/Float Sub Notes 2019A Due 7/1/2079,6.2,25,2079-07-01,2024-07-01,NYSE,25.969999313354492,26.299999237060547,23.51568638197042,N/A,31332.4,N/A,N/A,-3.9,False,11.8,88.1,N/A,6.2,-657,-1.8,-3.9,,11.8
AFGC,American Financial Group 5.125% Subordinated Debentures due 12/15/2059,5.125,25,2059-12-15,2024-12-15,NYSE,18.8799991607666,20.114832451237664,17.135254813516685,N/A,11839.6,N/A,N/A,24.5,True,17.4,58.6,N/A,5.125,-490,-1.3,24.5,,17.4
AFGB,American Financial Group 5.875% Subordinated Debentures due 3/30/2059,5.875,25,2059-03-30,2024-03-30,NYSE,21.079999923706055,22.68832826724592,19.438656455543253,N/A,9684.0,N/A,N/A,15.7,True,16.7,50.5,N/A,5.875,-750,-2.1,15.7,,16.7
AFGE,American Financial Group Inc. 4.50% Subordinated Debentures due 9/15/2060,4.5,25,2060-09-15,2025-09-15,NYSE,16.770000457763672,18.791108421268405,15.211003456544416,N/A,8870.0,N/A,N/A,32.9,True,23.5,43.5,N/A,4.5,-216,-0.6,32.9,,23.5
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 6/1/2060,5.625,25,2060-06-01,2025-06-01,NYSE,20.485000610351562,22.06127755608442,18.785807024173007,N/A,7314.0,N/A,N/A,18.1,True,17.4,51.9,N/A,5.625,-322,-0.9,18.1,,17.4
AOMN,Angel Oak Mortgage REIT Inc. 9.50% Senior Notes due 07/30/2029,9.5,25,2029-07-30,2026-07-30,NYSE,25.100000381469727,25.959999084472656,24.100000381469727,N/A,7836.8,N/A,N/A,-0.4,False,7.7,53.8,N/A,9.5,102,0.3,-0.4,,7.7
AOMD,Angel Oak Mortgage REIT Inc. 9.75% Senior Notes due 6/1/2030,9.75,25,2030-06-01,2027-06-01,NYSE,25.604999542236328,25.829999923706055,23.03136533942066,N/A,8298.222222222223,N/A,N/A,-2.4,False,12.2,92.0,N/A,9.75,408,1.1,-2.4,,12.2
APOS,Apollo Global Management Reset Rate Junior Subordinated Notes due 9/15/2053,7.0,25,2053-09-15,2028-12-15,NYSE,25.850000381469727,26.235197790550945,24.129368840386984,N/A,48203.2,N/A,N/A,-3.4,False,8.7,81.7,N/A,7.0,971,2.7,-3.4,,8.7
UZE,Array Digital Infrastructure Inc. 5.50% Senior Notes due 3/1/2070,5.5,25,2070-03-01,2026-03-01,NGS,18.219999313354492,21.113173687858662,15.643584904324053,N/A,35822.4,N/A,N/A,27.1,True,35.0,47.1,N/A,5.5,-49,-0.1,27.1,,35.0
UZD,Array Digital Infrastructure Inc. 6.25% Senior Notes due 9/1/2069,6.25,25,2069-09-01,2025-09-01,NGS,20.229999542236328,24.30703603594493,18.078799983670198,N/A,34640.4,N/A,N/A,19.1,True,34.5,34.5,N/A,6.25,-230,-0.6,19.1,,34.5
ASBA,Associated Banc-Corp Reset Rate Subordinated Notes due 03/01/2033,7.0,25,2033-03-01,2028-03-01,NYSE,24.989999771118164,25.3700008392334,21.651585563292375,N/A,18952.0,N/A,N/A,0.0,True,17.2,89.8,N/A,7.0,682,1.9,0.0,,17.2
AIZN,Assurant Inc. 5.25% Subordinated Notes due 1/15/2061,5.25,25,2061-01-15,2026-01-15,NYSE,20.270000457763672,21.60788151032731,17.894355902212013,N/A,23576.4,N/A,N/A,18.9,True,20.8,64.0,N/A,5.25,-94,-0.3,18.9,,20.8
T,AT&T Inc. 5.35% Global Notes due 11/1/2066,5.35,25,2066-11-01,2022-11-01,NYSE,26.510000228881836,29.135070165247793,22.712292700619045,N/A,40006084.0,1.11,4.19,-6.0,False,28.3,59.1,4.19,5.35,-1265,-3.5,-6.0,4.19,28.3
